"prisonerID";"Fname";"Lname";"DOB";"crime";"paroleDate";"behaviourRisk";"workType";"cellNum"
66;"Elspeth";"Szymoni";"1926-09-25";"arson";"2020-12-29";1;"laundry";17
67;"Vallie";"Stack";"1927-06-13";"rape";"2019-07-31";1;"laundry";17
68;"Linea";"Bibbie";"1920-01-13";"manslaughter";"2021-03-12";1;"laundry";17
69;"Tallia";"Jurasz";"1918-12-28";"rape";"2027-12-17";1;"kitchen";18
70;"Kylila";"Bussell";"1987-07-23";"manslaughter";"2021-08-20";1;"general labour";18
71;"Eudora";"Camolli";"1969-12-21";"forgery";"2019-07-13";1;"general labour";18
72;"Ad";"Joselevitz";"1944-11-25";"extortion";"2027-01-19";1;"general labour";18
73;"Tabbie";"Swigger";"1943-02-04";"arson";"2021-05-14";1;"general labour";19
74;"Forester";"Duberry";"1949-06-08";"treason";"2027-03-04";1;"laundry";19
75;"Dee";"Yerborn";"1973-09-13";"extortion";"2023-11-25";1;"general labour";19
76;"Briano";"Waight";"1937-05-04";"arson";"2022-03-20";1;"general labour";19
77;"Trstram";"Hysom";"1971-05-28";"manslaughter";"2028-11-12";1;"kitchen";20
78;"Royall";"Parkins";"1937-05-17";"murder";"2024-12-25";1;"general labour";20
79;"Zacharias";"Speirs";"1978-12-02";"rape";"2019-04-14";1;"laundry";20
80;"Barbee";"Pavie";"1989-02-14";"treason";"2024-05-21";1;"general labour";20
81;"Mathilde";"Scampion";"1965-09-30";"rape";"2018-12-12";1;"laundry";21
82;"Aksel";"Lankham";"1980-08-20";"riot";"2025-02-24";1;"kitchen";21
83;"Prentice";"Shyres";"1949-07-31";"manslaughter";"2026-03-28";1;"general labour";21
84;"Terza";"Antonsen";"1967-02-23";"common assault";"2018-09-14";1;"kitchen";21
85;"Weston";"Rummins";"1969-02-17";"extortion";"2024-09-06";1;"kitchen";22
86;"Marguerite";"Cartmer";"1965-02-10";"treason";"2028-07-02";1;"general labour";22
87;"Haze";"Yakobowitz";"1981-11-10";"manslaughter";"2018-01-09";1;"laundry";22
88;"Peria";"Whyffen";"1931-07-02";"forgery";"2021-07-31";1;"kitchen";22
89;"Nollie";"Maultby";"1973-04-17";"arson";"2020-08-22";1;"general labour";23
90;"Quentin";"Zavittieri";"1937-03-28";"treason";"2026-07-26";1;"laundry";23
91;"Jorge";"Izhaky";"1975-10-01";"battery";"2028-07-31";1;"general labour";23
92;"Saunderson";"Elliker";"1916-06-30";"rape";"2020-11-29";1;"kitchen";23
93;"Neddie";"Enns";"1922-11-17";"treason";"2028-01-15";1;"general labour";24
94;"Tova";"Asbery";"1910-09-30";"manslaughter";"2021-11-10";1;"general labour";24
95;"Kalil";"Eglin";"1939-02-04";"battery";"2018-02-16";1;"kitchen";24
96;"Emmye";"Warriner";"1926-10-27";"common assault";"2018-05-08";1;"laundry";24
97;"Philippe";"Ayree";"1974-08-17";"rape";"2023-06-11";1;"kitchen";25
98;"Rafael";"Napthine";"1911-10-11";"forgery";"2025-01-20";1;"kitchen";25
99;"Addia";"Ive";"1948-10-28";"battery";"2024-10-14";1;"kitchen";25
100;"Ferris";"Conen";"1973-03-31";"battery";"2025-04-15";1;"laundry";25
101;"Evita";"Americi";"1965-05-04";"mayhem";"2018-02-09";1;"general labour";26
102;"Ron";"Novak";"1932-12-09";"common assault";"2021-05-24";1;"general labour";26
103;"Ava";"Jiricka";"1955-08-14";"extortion";"2020-08-07";1;"general labour";26
104;"Maxy";"Merrigan";"1943-07-24";"common assault";"2021-07-11";1;"kitchen";26
105;"Othella";"Smith";"1930-07-19";"riot";"2018-03-20";1;"general labour";27
106;"Tallie";"Latey";"1927-12-19";"manslaughter";"2027-11-15";1;"laundry";27
107;"Kimberley";"Auchterlonie";"1958-01-23";"extortion";"2028-05-27";1;"kitchen";27
108;"Butch";"Elsom";"1927-10-08";"rape";"2024-06-27";1;"general labour";27
109;"Rozella";"Rubroe";"1958-09-11";"riot";"2025-07-16";1;"laundry";28
110;"Griz";"Gianettini";"1950-09-03";"rape";"2020-11-18";1;"laundry";28
111;"Colette";"Angrove";"1965-09-14";"extortion";"2018-05-16";1;"laundry";28
112;"Dee dee";"Pickersail";"1943-09-16";"mayhem";"2024-01-07";1;"kitchen";28
113;"Edna";"Corpes";"1990-03-31";"riot";"2023-09-13";1;"kitchen";29
114;"Rorke";"Lawlings";"1989-01-15";"battery";"2026-10-18";1;"laundry";29
115;"Mellicent";"Ferrelli";"1948-05-31";"arson";"2022-07-31";1;"laundry";29
116;"Tremaine";"Peckham";"1955-01-05";"treason";"2018-03-14";1;"general labour";29
117;"Tarrance";"Paszek";"1955-09-17";"forgery";"2024-01-04";1;"laundry";30
118;"Tessy";"Meriot";"1929-02-19";"mayhem";"2025-03-21";1;"laundry";30
119;"Godard";"Bethell";"1956-11-27";"arson";"2028-10-12";1;"general labour";30
120;"Tiffany";"Pressnell";"1999-11-24";"battery";"2020-08-14";1;"laundry";30
121;"Marlee";"Caress";"1978-08-08";"arson";"2020-12-13";1;"kitchen";31
122;"Cherin";"Razoux";"1927-09-09";"manslaughter";"2019-10-29";1;"kitchen";31
123;"Loralie";"Colenutt";"1913-01-02";"mayhem";"2019-12-13";1;"kitchen";31
124;"Heidi";"Tournay";"1942-08-09";"battery";"2023-10-13";1;"laundry";31
125;"Tabitha";"Midlane";"1910-12-04";"extortion";"2019-04-11";1;"general labour";32
126;"Ciro";"Baumaier";"1966-06-29";"murder";"2026-10-29";1;"general labour";32
127;"Barret";"Judge";"1964-09-27";"battery";"2018-08-01";1;"kitchen";32
128;"Parke";"Monini";"1932-10-19";"riot";"2021-10-12";1;"laundry";32
129;"Quentin";"Deam";"1922-05-27";"extortion";"2022-04-18";1;"laundry";33
130;"Pacorro";"Mitchell";"1926-04-05";"rape";"2020-04-29";1;"general labour";33
131;"Dimitry";"Tommasi";"1952-07-10";"arson";"2028-07-26";1;"general labour";33
132;"Darcy";"Weinberg";"1951-09-30";"battery";"2018-09-03";1;"kitchen";33
133;"Romy";"MacRitchie";"1975-01-08";"mayhem";"2027-03-22";1;"kitchen";34
134;"Dana";"Helleker";"1926-04-04";"murder";"2022-09-19";1;"laundry";34
135;"Derrik";"Cossans";"1967-08-01";"extortion";"2021-04-01";1;"general labour";34
136;"Lynn";"Walkington";"1984-04-22";"common assault";"2019-08-26";1;"kitchen";34
137;"Kort";"Blowfelde";"1981-06-02";"rape";"2025-09-28";1;"kitchen";35
138;"Branden";"Strute";"1991-03-12";"manslaughter";"2022-02-04";1;"general labour";35
139;"Kiri";"Evamy";"1945-07-03";"rape";"2023-03-09";1;"kitchen";35
140;"Welbie";"Zamorano";"1923-10-24";"riot";"2022-05-10";1;"laundry";35
141;"Kym";"Scintsbury";"1993-08-20";"manslaughter";"2024-03-25";1;"kitchen";36
142;"Natalya";"Moralee";"1958-08-27";"manslaughter";"2028-01-01";1;"general labour";36
143;"Benn";"Stoeck";"1953-09-11";"kidnapping";"2020-12-22";1;"general labour";36
144;"Gates";"Lyngsted";"1914-03-25";"rape";"2027-01-30";1;"kitchen";36
145;"Milzie";"Simoneton";"1997-07-21";"extortion";"2027-09-11";1;"kitchen";37
146;"Fredric";"Tomney";"1949-08-17";"treason";"2025-08-23";1;"laundry";37
147;"Sheila-kathryn";"MacCoughen";"1912-11-03";"rape";"2020-04-27";1;"general labour";37
148;"Demetra";"Rosenblath";"1912-10-01";"treason";"2028-02-13";1;"general labour";37
149;"Nicole";"Cannavan";"1941-04-04";"rape";"2028-01-16";1;"general labour";38
150;"Myrah";"Bounde";"1942-02-10";"treason";"2019-09-03";1;"kitchen";38
151;"Adam";"Logue";"1956-09-27";"murder";"2025-01-11";1;"kitchen";38
152;"Somerset";"Balasini";"1971-09-19";"forgery";"2027-01-02";1;"laundry";38
153;"Chadwick";"Wooldridge";"1973-12-20";"riot";"2026-02-19";1;"laundry";39
154;"Cathi";"Arnault";"1949-12-17";"battery";"2028-04-21";1;"general labour";39
155;"Correy";"Medeway";"1992-10-22";"manslaughter";"2028-08-29";1;"kitchen";39
156;"Orville";"Pledger";"1997-02-27";"riot";"2024-04-03";1;"general labour";39
157;"Imelda";"Jeskin";"1996-02-22";"battery";"2024-12-04";1;"kitchen";40
158;"Deidre";"Irdale";"1957-04-23";"kidnapping";"2019-06-25";1;"laundry";40
159;"Engracia";"Bottby";"1969-09-19";"murder";"2020-05-09";1;"kitchen";40
160;"Vanya";"Beards";"1958-08-01";"riot";"2021-01-22";1;"kitchen";40
161;"Flinn";"Scrace";"1914-03-25";"mayhem";"2026-09-13";1;"laundry";41
162;"Tabbi";"Lempel";"1953-09-04";"common assault";"2020-02-05";1;"kitchen";41
163;"Jock";"McLaverty";"1979-01-16";"battery";"2019-05-04";1;"general labour";41
164;"Phebe";"Jurczyk";"1950-08-05";"extortion";"2019-11-23";1;"laundry";41
165;"Vickie";"McCoole";"1956-01-05";"kidnapping";"2019-04-05";1;"laundry";42
166;"Katerina";"Hugin";"1959-05-03";"extortion";"2028-04-16";1;"kitchen";42
167;"Harold";"Pealing";"1995-08-12";"forgery";"2023-04-29";1;"general labour";42
168;"Nigel";"McAuley";"1930-11-24";"manslaughter";"2019-04-23";1;"kitchen";42
169;"Cynthie";"Odby";"1957-09-30";"battery";"2027-08-22";1;"general labour";43
170;"Verile";"Janout";"1948-04-26";"forgery";"2028-05-03";1;"kitchen";43
171;"Ashely";"Antonucci";"1981-11-08";"battery";"2023-03-27";1;"general labour";43
172;"Shane";"Palomba";"1939-09-29";"common assault";"2018-06-16";1;"general labour";43
173;"Krisha";"Kubicki";"1911-12-15";"arson";"2026-06-20";1;"kitchen";44
174;"Cleve";"Wyrall";"1951-01-14";"kidnapping";"2020-04-25";1;"kitchen";44
175;"Yuma";"Skey";"1933-06-29";"treason";"2027-11-30";1;"laundry";44
176;"Bartel";"Ashling";"1962-07-15";"treason";"2026-10-05";1;"laundry";44
177;"Benni";"McPhilip";"1999-01-18";"treason";"2025-03-19";1;"laundry";45
178;"Toma";"Carbonell";"1927-08-28";"common assault";"2025-04-04";1;"general labour";45
179;"Enrique";"Wyley";"1923-07-24";"murder";"2021-06-16";1;"general labour";45
180;"Pippy";"Breinlein";"1986-01-19";"rape";"2025-03-26";1;"laundry";45
181;"Leah";"Murfill";"1967-12-12";"rape";"2020-11-09";1;"kitchen";46
182;"Ronni";"Russe";"1974-03-21";"extortion";"2019-01-23";1;"general labour";46
183;"Granthem";"O'Looney";"1979-09-22";"arson";"2023-04-29";1;"laundry";46
184;"Jerome";"Nazareth";"1910-04-13";"riot";"2018-03-07";1;"general labour";46
185;"Georgy";"Palluschek";"1997-04-17";"forgery";"2021-05-02";1;"kitchen";47
186;"Noah";"Jeskins";"1931-12-22";"arson";"2020-01-17";1;"kitchen";47
187;"Vickie";"Eakin";"1980-12-13";"extortion";"2024-11-23";1;"laundry";47
188;"Dido";"Alexandersson";"1960-04-11";"manslaughter";"2026-09-13";1;"kitchen";47
189;"Nonie";"Lawleff";"1959-05-28";"manslaughter";"2028-10-05";1;"kitchen";48
190;"Farly";"Kinnoch";"1993-10-31";"mayhem";"2022-04-03";1;"laundry";48
191;"Laureen";"Clementel";"1986-08-16";"extortion";"2020-08-09";1;"general labour";48
192;"Hughie";"Burchett";"1942-03-03";"battery";"2018-04-16";1;"laundry";48
193;"Cam";"Dincey";"1979-02-13";"common assault";"2020-10-05";1;"laundry";49
194;"Mohandis";"Amsberger";"1959-02-06";"arson";"2020-01-09";1;"kitchen";49
195;"Dianemarie";"Burgwin";"1910-11-06";"common assault";"2026-10-19";1;"kitchen";49
196;"Berri";"Rimington";"1998-08-23";"common assault";"2025-05-12";1;"kitchen";49
197;"Drew";"Schechter";"1964-11-01";"common assault";"2021-02-13";1;"kitchen";50
198;"Simonne";"Flicker";"1938-12-18";"kidnapping";"2020-09-04";1;"kitchen";50
199;"Garvin";"Sallnow";"1917-09-29";"mayhem";"2028-04-09";1;"general labour";50
200;"Ardath";"Lillecrop";"1991-01-07";"battery";"2025-06-16";1;"laundry";50
201;"Gilda";"Sharple";"1939-07-03";"kidnapping";"2028-06-21";1;"general labour";51
202;"Nadia";"Garratty";"1949-02-24";"mayhem";"2023-11-29";1;"general labour";51
203;"Suzette";"Spicer";"1967-04-14";"manslaughter";"2019-02-13";1;"kitchen";51
204;"Lin";"McHan";"1912-02-17";"kidnapping";"2028-05-30";1;"kitchen";51
205;"Alfred";"Stubbert";"1965-07-03";"rape";"2027-03-05";1;"general labour";52
206;"Megan";"Vineall";"1962-09-23";"mayhem";"2026-07-08";1;"kitchen";52
207;"Evelina";"Rangall";"1962-04-11";"rape";"2027-01-01";1;"kitchen";52
208;"Jeanie";"Le Fevre";"1937-01-13";"arson";"2020-10-18";1;"laundry";52
209;"Niles";"Ashpital";"1950-12-28";"rape";"2021-09-30";1;"laundry";53
210;"Muire";"Baumann";"1981-06-18";"riot";"2026-12-14";1;"kitchen";53
211;"Rheta";"Feely";"1961-04-10";"arson";"2019-04-16";1;"kitchen";53
212;"Malvina";"Pressdee";"1994-12-17";"rape";"2025-02-08";1;"kitchen";53
213;"Debi";"Teague";"1967-05-22";"manslaughter";"2022-02-22";1;"general labour";54
214;"Nanete";"Kupka";"1963-08-14";"treason";"2018-10-14";1;"kitchen";54
215;"Marnia";"Goncaves";"1998-05-12";"rape";"2021-11-17";1;"kitchen";54
216;"Claudia";"Brute";"1951-07-16";"forgery";"2021-06-01";1;"laundry";54
217;"Kelci";"Lethlay";"1936-06-20";"extortion";"2022-04-27";1;"kitchen";55
218;"Jamill";"Pudsey";"1922-07-27";"kidnapping";"2022-10-09";1;"general labour";55
219;"Garland";"Hows";"1998-08-11";"riot";"2026-12-22";1;"laundry";55
220;"Hyacinthe";"Cleaton";"1921-08-31";"kidnapping";"2020-08-30";1;"laundry";55
221;"Lois";"Cockshoot";"1986-04-04";"murder";"2022-10-22";1;"kitchen";56
222;"Lanny";"Sparham";"1930-10-03";"common assault";"2018-02-15";1;"general labour";56
223;"Dulcy";"Dayment";"1922-08-20";"rape";"2019-01-31";1;"general labour";56
224;"Vinson";"Jurgenson";"1916-08-02";"arson";"2025-11-13";1;"laundry";56
225;"Petronille";"Krzysztofiak";"1973-06-10";"mayhem";"2018-03-23";1;"kitchen";57
226;"Saba";"Brusle";"1945-09-02";"kidnapping";"2020-11-18";1;"kitchen";57
227;"Zita";"Shirtcliffe";"1910-04-09";"forgery";"2024-04-11";1;"general labour";57
228;"Cory";"Willmett";"1977-08-07";"murder";"2027-01-06";1;"kitchen";57
229;"Hardy";"Robertson";"1939-07-18";"common assault";"2028-08-22";1;"laundry";58
230;"Gypsy";"Atger";"1949-03-27";"rape";"2018-11-11";1;"kitchen";58
231;"Perry";"Meatcher";"1994-12-08";"treason";"2022-05-09";1;"kitchen";58
232;"Cordell";"Aylmer";"1955-06-24";"kidnapping";"2025-06-30";1;"general labour";58
233;"Selinda";"Ruppel";"1999-01-01";"arson";"2022-07-15";1;"kitchen";59
234;"Rodger";"Beamond";"1962-02-10";"riot";"2023-01-26";1;"general labour";59
235;"Creighton";"Chritchlow";"1915-02-15";"kidnapping";"2027-08-28";1;"laundry";59
236;"Lamar";"Spaven";"1969-03-18";"murder";"2022-05-09";1;"kitchen";59
237;"Dud";"Kear";"1960-03-15";"riot";"2020-11-04";1;"laundry";60
238;"Mil";"Mongain";"1988-12-09";"manslaughter";"2020-06-20";1;"laundry";60
239;"Margit";"Yurlov";"1916-08-30";"arson";"2026-05-15";1;"kitchen";60
240;"Dewie";"Whybray";"1933-08-19";"rape";"2027-03-24";1;"laundry";60
241;"Kendal";"McBryde";"1914-07-16";"manslaughter";"2025-04-09";1;"laundry";61
242;"Malynda";"Hart";"1987-09-12";"battery";"2025-05-05";1;"kitchen";61
243;"Bartholomew";"Saladine";"1974-06-05";"battery";"2021-11-21";1;"general labour";61
244;"Kariotta";"De Banke";"1919-08-28";"mayhem";"2021-01-23";1;"kitchen";61
245;"Addie";"Elmore";"1921-03-21";"forgery";"2021-12-15";1;"general labour";62
246;"Syd";"McLagan";"1960-05-08";"kidnapping";"2024-07-29";1;"laundry";62
247;"Luigi";"Tullis";"1920-04-03";"forgery";"2020-08-17";1;"laundry";62
248;"Reed";"Sowter";"1981-05-19";"riot";"2028-08-06";1;"general labour";62
249;"Harcourt";"Trownson";"1978-02-04";"rape";"2026-03-02";1;"laundry";63
250;"Lock";"Nunns";"1957-07-22";"extortion";"2018-08-12";1;"kitchen";63
251;"Merry";"Garfath";"1948-06-07";"kidnapping";"2020-07-22";1;"kitchen";63
252;"Harlene";"Dewis";"1983-12-13";"arson";"2018-08-07";1;"general labour";63
253;"Wallas";"Pybworth";"1978-04-20";"extortion";"2028-09-28";1;"laundry";64
254;"Mandie";"Fendley";"1919-05-08";"treason";"2020-04-08";1;"laundry";64
255;"Cindra";"Everall";"1919-07-25";"common assault";"2027-01-11";1;"laundry";64
256;"Jackqueline";"Bamfield";"1955-03-12";"treason";"2025-10-16";1;"laundry";64
257;"Lauretta";"Ewins";"1914-10-02";"riot";"2028-05-25";1;"kitchen";65
258;"Harri";"Prescote";"1935-05-09";"arson";"2018-03-09";1;"laundry";65
259;"Vladamir";"Chappel";"1939-11-14";"common assault";"2027-07-21";1;"kitchen";65
260;"Kalina";"Farrant";"1993-06-26";"manslaughter";"2024-07-03";1;"kitchen";65
261;"Montgomery";"Dmitrovic";"1989-06-03";"mayhem";"2023-08-21";1;"laundry";66
262;"Judd";"Bonallick";"1987-07-28";"riot";"2022-05-11";1;"laundry";66
263;"Marthena";"Silversmid";"1944-06-12";"mayhem";"2025-01-15";1;"kitchen";66
264;"Murdock";"Trevan";"1916-07-04";"arson";"2019-08-21";1;"general labour";66
265;"Theressa";"Bilt";"1971-11-04";"murder";"2020-07-02";1;"general labour";67
266;"Harmonie";"Remon";"1943-02-24";"riot";"2024-03-26";1;"kitchen";67
267;"Iolande";"Coen";"1942-05-01";"arson";"2024-03-10";1;"kitchen";67
268;"Husain";"Pavkovic";"1959-08-24";"riot";"2024-03-01";1;"laundry";67
269;"Khalil";"Sherland";"1984-10-20";"riot";"2028-08-22";1;"laundry";68
270;"Andree";"Chudleigh";"1987-01-07";"battery";"2024-03-27";1;"general labour";68
271;"Allyson";"Shewsmith";"1986-12-18";"treason";"2024-01-18";1;"general labour";68
272;"Cam";"McGilbon";"1923-01-05";"riot";"2024-04-03";1;"general labour";68
273;"Viviana";"Huchot";"1976-08-17";"common assault";"2022-03-03";1;"kitchen";69
274;"Shayne";"Sloley";"1998-06-29";"common assault";"2026-09-10";1;"kitchen";69
275;"Livvy";"Skain";"1914-08-25";"rape";"2019-12-15";1;"kitchen";69
276;"Rhea";"McCormack";"1930-07-18";"riot";"2028-05-05";1;"kitchen";69
277;"Velma";"Honsch";"1923-06-12";"extortion";"2022-05-23";1;"general labour";70
278;"Lexi";"Scheffler";"1973-01-15";"riot";"2019-06-12";1;"general labour";70
279;"Nichole";"Grassot";"1968-08-25";"treason";"2023-03-06";1;"laundry";70
280;"Valencia";"Scahill";"1976-08-09";"kidnapping";"2026-07-01";1;"kitchen";70
281;"Victoir";"Nealand";"1977-07-21";"treason";"2028-10-24";1;"laundry";71
282;"Mahala";"Tatford";"1998-11-30";"rape";"2019-05-18";1;"general labour";71
283;"Fidela";"Durling";"1930-02-16";"arson";"2018-12-11";1;"laundry";71
284;"Alexio";"Cowely";"1984-06-20";"forgery";"2021-06-02";1;"kitchen";71
285;"Filmore";"Birkenhead";"1930-12-12";"common assault";"2023-10-10";1;"laundry";72
286;"Uri";"Cronshaw";"1968-05-11";"kidnapping";"2027-11-11";1;"laundry";72
287;"Robenia";"Wyborn";"1958-06-02";"riot";"2023-10-29";1;"kitchen";72
288;"Yvor";"Latham";"1981-05-09";"extortion";"2020-04-25";1;"general labour";72
289;"Addy";"Jerrim";"1919-08-11";"manslaughter";"2027-10-11";1;"laundry";73
290;"Carolee";"Frayne";"1965-09-20";"battery";"2019-09-27";1;"kitchen";73
291;"Sashenka";"Hugland";"1955-03-01";"arson";"2027-08-23";1;"general labour";73
292;"Layne";"Pellant";"1916-11-10";"extortion";"2028-01-01";1;"laundry";73
293;"Martin";"Benois";"1926-01-31";"rape";"2019-08-01";1;"laundry";74
294;"Costa";"Ferns";"1990-10-29";"manslaughter";"2023-01-13";1;"kitchen";74
295;"Carissa";"Estabrook";"1928-01-09";"murder";"2019-04-13";1;"general labour";74
296;"Jayme";"Giffard";"1947-11-06";"extortion";"2021-05-31";1;"kitchen";74
297;"Ludvig";"Clutterbuck";"1914-08-25";"treason";"2023-12-10";1;"general labour";75
298;"Murvyn";"Zorzin";"1930-12-29";"kidnapping";"2027-06-04";1;"laundry";75
299;"Odette";"Gladeche";"1980-03-09";"murder";"2022-07-19";1;"kitchen";75
300;"Wallache";"Harnwell";"1925-08-04";"forgery";"2024-05-30";1;"laundry";75
301;"Brose";"Poppleton";"1925-12-06";"murder";"2022-08-30";1;"kitchen";76
302;"Deidre";"Silversmid";"1920-01-21";"rape";"2021-01-21";1;"general labour";76
303;"Nilson";"Whitty";"1934-10-20";"rape";"2024-07-14";1;"kitchen";76
304;"Spenser";"Duligal";"1953-02-08";"rape";"2018-03-08";1;"laundry";76
305;"Jdavie";"Bonnick";"1940-07-02";"riot";"2022-02-15";1;"laundry";77
306;"Noemi";"Trevino";"1984-02-02";"kidnapping";"2022-06-26";1;"laundry";77
307;"Blair";"Viveash";"1918-09-10";"forgery";"2026-02-10";1;"kitchen";77
308;"Anna";"Spat";"1963-12-10";"battery";"2027-02-26";1;"laundry";77
309;"Meta";"Honack";"1975-07-29";"manslaughter";"2019-12-31";1;"general labour";78
310;"Gae";"Klehn";"1957-03-12";"mayhem";"2027-04-07";1;"laundry";78
311;"Burlie";"Monger";"1942-02-18";"common assault";"2019-07-03";1;"kitchen";78
312;"Farrah";"Matt";"1929-12-20";"manslaughter";"2025-04-29";1;"laundry";78
313;"Etienne";"Packman";"1994-07-27";"common assault";"2027-07-05";1;"kitchen";79
314;"Myrtle";"de Clerc";"1975-07-11";"manslaughter";"2023-07-10";1;"laundry";79
315;"Tomas";"Boam";"1936-05-26";"riot";"2025-07-11";1;"kitchen";79
316;"Ailyn";"Sarfat";"1968-04-05";"extortion";"2020-09-15";1;"laundry";79
317;"Theodore";"Becks";"1919-12-25";"treason";"2025-07-28";1;"laundry";80
318;"Nanice";"Leachman";"1981-01-30";"murder";"2027-08-25";1;"laundry";80
319;"Stephan";"Witch";"1977-09-17";"murder";"2023-10-26";1;"laundry";80
320;"Bekki";"Penk";"1964-11-07";"extortion";"2023-02-20";1;"laundry";80
321;"Becka";"Gimeno";"1920-07-15";"manslaughter";"2027-10-13";1;"kitchen";81
322;"Emmy";"Saville";"1975-03-13";"treason";"2021-01-18";1;"laundry";81
323;"Andrey";"Haslewood";"1925-10-02";"extortion";"2024-04-09";1;"laundry";81
324;"Spenser";"Strickler";"1997-03-31";"manslaughter";"2022-03-09";1;"laundry";81
325;"Madison";"Lincey";"1989-10-08";"rape";"2028-05-15";1;"kitchen";82
326;"Eward";"Cready";"1958-06-30";"riot";"2026-12-21";1;"laundry";82
327;"Renie";"Kerfod";"1986-03-29";"arson";"2020-07-21";1;"kitchen";82
